region_acronym,n_neurons,n_sessions,n_probes,n_spikes_spontaneous_median,firing_rate_hz_median,local_variance_lv_median,n_timescales_median,tau_1_ms_median,tau_2_ms_median,tau_3_ms_median,tau_4_ms_median,c_1_median,c_2_median,c_3_median,c_4_median,tau_effective_ms_median,r_squared_median,ci_lower_ms_median,ci_upper_ms_median,bic_1_median,bic_2_median,bic_3_median,bic_4_median,coverage_label
ORBvl,471,8,8,3145.0,5.550978411202134,0.9194698103917114,2.0,202.81781082712047,2031.9806355816745,2726.305692950981,,0.0599223053422519,0.0227554126787538,0.01526868820050435,,722.0008230381246,0.7876214095015303,645.9968825360662,799.4279366017741,-6106.318111118989,-6329.715441087725,-6342.383893990396,-6287.304231246882,high
PRM,455,16,18,6557.0,10.92696698620053,0.9948707788548858,2.0,83.30496046071343,1123.9343135278082,1877.8824433928528,,0.0954561012794614,0.04320694524812635,0.02491752886234725,,611.8665611196737,0.8941933834656401,536.2653667423916,668.3688069110532,-6013.632233897349,-6405.606505534288,-6426.897124267634,-6455.038633290167,high
VPL,449,19,20,4064.0,8.349209682716527,0.9712967318723392,2.0,63.72770298490397,1239.0435551986097,3186.7023757912316,,0.0725382325541061,0.02477071657127325,0.01865903129610735,,481.11191911143857,0.7767880916805241,364.6848164774529,567.5993776763202,-6135.916040498543,-6399.826816972596,-6431.515215311414,-6438.995180304732,high
VISam,435,21,22,2360.0,4.307873740875516,1.1102426679873003,2.0,42.31920156672518,880.0374882346225,2732.071955944952,,0.0989664149740795,0.0241151989766325,0.0114316884563745,,314.7981260982313,0.7821950621841973,255.28151513102085,368.2495392305055,-6153.153990067948,-6362.068197248545,-6393.363325827272,-6344.440555261577,high
MV,431,23,23,2378.0,3.9628556347222137,1.0159836975942194,2.0,90.76476457280668,1905.154950388083,2821.2229689900278,4948.441861863227,0.1382775629264324,0.036310821812909,0.0628321499257187,0.100690884541046,677.1198208813328,0.8325457730145168,576.3387074338056,746.4577607247561,-6084.531593589388,-6196.584297459551,-6233.9069018580185,-6212.289600867452,high
SSp-ul,412,15,15,2289.0,3.814640178462255,1.1998492929728601,2.0,20.85275587390553,680.7677444449505,2756.361175211931,,0.16616512625634872,0.028731889797315,0.0155554851776689,,198.51025273658632,0.8072834541741252,152.96306905032998,242.27040772979836,-6251.415551222828,-6410.273268497158,-6412.389625842926,-6334.065921706449,high
ZI,392,39,39,2930.5,6.276097899907364,0.9769843226022428,2.0,195.0136419623205,1918.6700073744976,2782.9902965397496,,0.0573630545028158,0.0286517067809949,0.0185778152074146,,747.6476524386619,0.8106387105139596,690.143949655398,830.259827822129,-6091.38730866701,-6239.790594312747,-6421.745904503041,-6439.39188423279,high
ACB,386,22,22,1787.0,3.237933064177577,1.1498533761570973,2.0,44.52905571975562,1062.866204750419,3113.143746449912,5747.332011661178,0.1272222713483687,0.025048180428312597,0.0147644002393696,0.0380329801182743,219.65240663942086,0.7962761806164032,172.65381531723617,264.340985703956,-6134.554540521358,-6323.664751975299,-6365.7248758255955,-6342.533896732536,high
RSPd,368,30,32,4370.0,7.6574055997016455,1.128936299661449,2.0,24.762104974092082,955.7732913572768,2939.7277567676238,2708.198920887497,0.14537077015395944,0.0208640120677575,0.0132609715329996,0.0263432174945914,117.75266156911701,0.752452650827911,99.23047555215223,152.6882089675854,-6242.491378244838,-6468.398982582113,-6484.941385988814,-6429.37531395467,high
ORBl,357,8,8,2125.0,3.5412997499781693,1.203352400299756,2.0,32.462271483808685,634.3894696293225,3715.680512875164,,0.1595670312732826,0.0180278400001114,0.0138150014047588,,91.69973132005327,0.7373747353950928,73.4115963977679,105.30300915239384,-6218.800706535029,-6378.166319639629,-6393.814028532908,-6341.7509386468755,high
LGd,353,23,23,4261.0,9.885790208959635,0.9795225382485426,2.0,55.95563033051932,775.411877724491,2478.0141416360666,3343.972876341936,0.0956246120396129,0.02633228928545655,0.0112599830191281,0.009441478519914,254.10569999281367,0.7666827167864636,206.9323434442932,301.60530434088173,-6071.2599988074,-6245.88560774843,-6227.850489499667,-6270.224520611892,high
SSp-tr,350,14,14,1971.0,4.561081769541138,1.143869504260466,2.0,34.83560325216901,718.2576766485244,2262.819492086665,,0.1388654962903333,0.0233209113911614,0.0108672474537639,,192.77705914750163,0.7824337635814266,158.80118855349835,233.4129954457658,-6016.574885188689,-6206.891400980033,-6198.545661905635,-6113.985641896584,high
VAL,349,11,11,5461.0,9.420509624736424,0.9811515999133764,2.0,26.95384619054333,491.0226401504072,3899.157927566285,,0.145736563717878,0.0239692539239639,0.013205172858195,,181.6765267114474,0.8108950176740217,151.3905985817033,218.02530906344668,-6208.837210035427,-6433.073765490352,-6474.853381269664,-6436.809552041571,high
POST,349,20,20,3492.0,6.482733376872599,1.0761238572969796,2.0,80.79859978563027,1373.898272258918,2747.749829237575,,0.0992533776166504,0.02547436935549075,0.0145472118522915,,283.6102314158227,0.8090854119264121,236.23552941144104,319.9833254283653,-6199.804361667945,-6352.310719789452,-6384.733356834982,-6353.505583390181,high
COAp,347,18,18,1169.0,2.506139127285033,1.240494826696258,2.0,38.02278789516819,570.3908675350739,2807.182447069347,,0.1515982534133406,0.0218482673494069,0.0112703784299358,,124.0561912139286,0.8033490899402034,108.21483932130056,143.2985804454,-6079.431361651434,-6336.943750475806,-6350.763740186707,-6159.740484499563,high
EPd,346,12,12,1796.5,2.993841036594965,1.1898902870846166,2.0,31.04964698070784,763.5010792425992,2670.953711074157,,0.185721847907511,0.0141115214191231,0.01020802088910655,,77.90806316728293,0.7726495634229836,64.4165720802527,88.74947662774366,-6333.274465036908,-6452.103177397202,-6452.711498672133,-6399.460684894766,high
SCs,343,23,24,3331.0,5.805944540785529,1.0970443398505778,2.0,52.41184227027932,619.2907592682475,3303.951806803425,3222.073830722288,0.0753358489463681,0.0245875516132585,0.0085970715770173,0.0060562036652644,327.274624417876,0.7492395423134284,270.3471658772426,400.4877706341932,-6296.410590918448,-6487.234480962383,-6541.017388966061,-6530.983300422122,high
ANcr2,343,12,14,8452.0,14.084922650618058,0.9714840112552752,2.0,48.9404049256011,1033.5401761448716,2693.163132181808,,0.0988708874531375,0.034836776699352,0.019273697909412947,,494.73796134124433,0.8769225133309203,394.5808735143336,579.4347201228119,-6016.129298226371,-6418.229375969613,-6479.125968560878,-6468.364155687647,high
SSp-ll,342,10,10,1540.0,2.888898666323147,1.1174702844461215,2.0,37.698212231236155,1564.8808008740507,2399.062577289385,,0.0706628157543277,0.0246947527815537,0.01899732325675065,,607.1766533615428,0.7574443407982856,454.60987752662743,727.0539433840388,-6131.955512240148,-6278.36937997842,-6311.7359909956585,-6245.293040767927,high
ProS,330,26,26,3511.5,6.2136163376733,1.1269451341506298,2.0,21.25884189011211,342.26785591674303,2251.61793268597,,0.17084060371615828,0.0251432794051309,0.0085020110599901,,79.1319684327259,0.7426604782278821,60.372780206230495,96.88217868386758,-6352.643789611006,-6483.894007216817,-6506.886218758526,-6545.210600216436,high
PPN,329,16,16,1950.0,3.249709539382979,0.9962146906350486,2.0,231.1737986819284,2401.0090928276463,3052.5244825133223,4909.898040206904,0.0650132723371998,0.0298058571898041,0.0347873648373045,0.0750941515854885,968.6666294598938,0.7959406755819022,835.0891907679434,1063.199546841107,-5950.965505097486,-6222.66970733674,-6362.389379294453,-6007.620145436399,high
VISpm,325,13,14,1753.0,3.258121755840275,1.0889031617122515,2.0,87.75650779220152,1564.4290604144849,2790.535601002588,,0.0825178545628235,0.023378326938488347,0.0125350622760725,,436.97785346714846,0.7728480088990366,351.18497669215685,508.5121178637512,-6117.079890755648,-6304.272975290832,-6396.496444494409,-6209.577751769121,high
NTS,324,18,18,775.5,1.2923902605632889,1.1787586410631645,2.0,150.90010891625644,1322.783894538513,2752.7272465401174,,0.10240217910523415,0.0450827592480366,0.03198237476337055,,649.9482040695875,0.8768825281356747,579.7085260921331,726.8401262881644,-5756.202678065655,-6071.009932798602,-6038.102519031278,-6010.262368081712,high
CENT3,321,27,28,5508.0,9.630471532510024,0.8859623260329413,2.0,156.668886066179,2287.250105816244,2958.747925794855,,0.062994654237055,0.0279884290578373,0.04455689393016135,,1217.438193544472,0.8219704369325463,1078.1351798881658,1347.4251781416074,-6188.470092180247,-6466.995873087803,-6487.173371391458,-6443.489879953404,high
PARN,320,19,19,1455.5,2.4255927025376547,1.0229107260585693,2.0,169.32312982962645,1615.7614384377914,2978.815246618582,3545.7694318508384,0.07612856625102585,0.0416227557499349,0.02760186371975,0.010121883312353148,839.3251972110598,0.8653752264795057,732.7086789570183,904.7730457753378,-5908.952671571279,-6140.812927571888,-6120.800606517755,-6276.667579849274,high
PB,312,25,26,2084.5,3.473733829764009,0.9923055848220648,2.0,217.33965311606443,1791.5965281568297,2663.276960664195,,0.07420199013378545,0.027504379264823,0.03091163100533135,,861.98610079841,0.8305077113916366,795.539012410936,937.8914901014059,-5979.303570745993,-6247.411280826637,-6309.329269122984,-6245.70799557745,high
MG,302,13,13,4041.0,8.196499141956878,0.953527676825429,2.0,83.27466858596621,1032.507584408917,3588.839311940678,,0.08389644382145744,0.02166647331616025,0.0106022660376083,,325.0115981047419,0.8085990094348539,270.0217594926721,367.30073723428063,-6162.918849863752,-6371.531811156905,-6435.956855000139,-6420.697936233013,high
V,299,9,9,1843.0,3.071284498948601,1.0365483659927397,2.0,217.67120956904824,2249.8896516531654,2930.2960466598624,621.2719674290969,0.065045693022288,0.0452429159660511,0.0425558911694993,0.1340547185454302,1269.6529043846267,0.8890225067755589,1154.4640009009822,1469.330347136428,-6014.094755600612,-6174.023795127822,-6208.758649106368,-6100.60394435684,high
